t,bbox,ratio,conf,landmark
14.34,True,0.0713,0.302,False
14.37,True,0.1151,0.344,False
14.4,True,0.1604,0.352,False
14.44,True,0.2757,0.315,False
14.47,False,0.0,0.0,False
14.5,False,0.0,0.0,False
14.54,False,0.0,0.0,False
14.57,False,0.0,0.0,False
14.6,False,0.0,0.0,False
14.64,False,0.0,0.0,False
14.67,True,0.2269,0.315,False
14.7,True,0.2552,0.424,False
14.74,False,0.0,0.0,False
14.77,True,0.257,0.324,False
14.8,False,0.0,0.0,False
14.84,True,0.2626,0.387,False
14.87,False,0.0,0.0,False
14.9,False,0.0,0.0,False
14.94,True,0.3028,0.3,False
14.97,False,0.0,0.0,False
15.0,True,0.2462,0.3,False
15.04,False,0.0,0.0,False
15.07,True,0.2462,0.35,False
15.1,True,0.2347,0.304,False
15.14,True,0.2462,0.315,False
15.17,True,0.2644,0.335,False
15.2,True,0.2757,0.333,False
15.24,True,0.2681,0.322,False
15.27,False,0.0,0.0,False
15.3,False,0.0,0.0,False
15.34,False,0.0,0.0,False
15.37,False,0.0,0.0,False
15.4,True,0.2408,0.312,False
15.44,True,0.2364,0.312,False
15.47,False,0.0,0.0,False
15.5,True,0.2444,0.31,False
15.54,False,0.0,0.0,False
15.57,False,0.0,0.0,False
15.6,False,0.0,0.0,False
15.64,True,0.2719,0.356,False
15.67,False,0.0,0.0,False
15.7,True,0.2814,0.318,False
15.74,False,0.0,0.0,False
15.77,False,0.0,0.0,False
15.8,False,0.0,0.0,False
15.84,True,0.2498,0.326,False
15.87,False,0.0,0.0,False
15.9,False,0.0,0.0,False
15.94,False,0.0,0.0,False
15.97,False,0.0,0.0,False
16.0,False,0.0,0.0,False
16.04,False,0.0,0.0,False
16.07,True,0.2795,0.321,False
16.1,False,0.0,0.0,False
16.14,False,0.0,0.0,False
16.17,False,0.0,0.0,False
16.2,False,0.0,0.0,False
16.24,True,0.2498,0.369,False
16.27,False,0.0,0.0,False
16.3,False,0.0,0.0,False
16.34,True,0.3008,0.324,False
16.37,False,0.0,0.0,False
16.4,True,0.2776,0.315,False
16.44,False,0.0,0.0,False
16.47,False,0.0,0.0,False
16.5,False,0.0,0.0,False
16.54,True,0.3148,0.304,False
16.57,False,0.0,0.0,False
16.6,False,0.0,0.0,False
16.64,False,0.0,0.0,False
16.67,False,0.0,0.0,False
16.7,False,0.0,0.0,False
16.74,False,0.0,0.0,False
16.77,False,0.0,0.0,False
16.8,False,0.0,0.0,False
16.84,False,0.0,0.0,False
16.87,True,0.3008,0.301,False
16.9,False,0.0,0.0,False
16.94,False,0.0,0.0,False
16.97,True,0.2776,0.319,False
17.0,False,0.0,0.0,False
17.04,False,0.0,0.0,False
17.07,False,0.0,0.0,False
17.1,False,0.0,0.0,False
17.14,False,0.0,0.0,False
17.17,False,0.0,0.0,False
17.2,False,0.0,0.0,False
17.24,True,0.2719,0.302,False
17.27,False,0.0,0.0,False
17.3,False,0.0,0.0,False
17.34,False,0.0,0.0,False
17.37,False,0.0,0.0,False
17.4,False,0.0,0.0,False
17.44,False,0.0,0.0,False
17.47,False,0.0,0.0,False
17.5,True,0.2852,0.386,False
17.54,True,0.2757,0.349,False
17.57,False,0.0,0.0,False
17.6,False,0.0,0.0,False
17.64,False,0.0,0.0,False
17.67,True,0.2795,0.321,False
17.7,False,0.0,0.0,False
17.74,False,0.0,0.0,False
17.77,False,0.0,0.0,False
17.8,False,0.0,0.0,False
17.84,False,0.0,0.0,False
17.87,False,0.0,0.0,False
17.9,True,0.2795,0.308,False
17.94,False,0.0,0.0,False
17.97,False,0.0,0.0,False
18.0,True,0.2795,0.311,False
18.04,False,0.0,0.0,False
18.07,False,0.0,0.0,False
18.1,False,0.0,0.0,False
18.14,False,0.0,0.0,False
18.17,False,0.0,0.0,False
18.2,True,0.3058,0.303,False
18.24,False,0.0,0.0,False
18.27,False,0.0,0.0,False
18.3,True,0.3068,0.303,False
18.34,False,0.0,0.0,False
18.37,False,0.0,0.0,False
18.4,False,0.0,0.0,False
18.44,False,0.0,0.0,False
18.47,False,0.0,0.0,False
18.5,False,0.0,0.0,False
18.54,False,0.0,0.0,False
18.57,False,0.0,0.0,False
18.6,True,0.2814,0.315,False
18.64,False,0.0,0.0,False
18.67,False,0.0,0.0,False
18.7,False,0.0,0.0,False
18.74,False,0.0,0.0,False
18.77,False,0.0,0.0,False
18.8,False,0.0,0.0,False
18.84,False,0.0,0.0,False
18.87,False,0.0,0.0,False
18.9,True,0.2373,0.317,False
18.94,True,0.2719,0.322,False
18.97,False,0.0,0.0,False
19.0,False,0.0,0.0,False
19.04,False,0.0,0.0,False
19.07,False,0.0,0.0,False
19.1,False,0.0,0.0,False
19.14,False,0.0,0.0,False
19.17,False,0.0,0.0,False
19.2,False,0.0,0.0,False
19.24,False,0.0,0.0,False
19.27,False,0.0,0.0,False
19.3,False,0.0,0.0,False
19.34,False,0.0,0.0,False
19.37,False,0.0,0.0,False
19.4,True,0.2444,0.307,False
19.44,False,0.0,0.0,False
19.47,False,0.0,0.0,False
19.5,False,0.0,0.0,False
19.54,False,0.0,0.0,False
19.57,False,0.0,0.0,False
19.6,False,0.0,0.0,False
19.64,False,0.0,0.0,False
19.67,False,0.0,0.0,False
19.7,False,0.0,0.0,False
19.74,False,0.0,0.0,False
19.77,True,0.2757,0.313,False
19.8,False,0.0,0.0,False
19.84,False,0.0,0.0,False
19.87,False,0.0,0.0,False
19.9,False,0.0,0.0,False
19.94,False,0.0,0.0,False
19.97,False,0.0,0.0,False
20.0,False,0.0,0.0,False
20.04,False,0.0,0.0,False
20.07,False,0.0,0.0,False
20.1,False,0.0,0.0,False
20.14,False,0.0,0.0,False
20.17,False,0.0,0.0,False
20.2,False,0.0,0.0,False
20.24,False,0.0,0.0,False
20.27,True,0.2814,0.312,False
20.3,False,0.0,0.0,False
20.34,False,0.0,0.0,False
20.37,True,0.3008,0.302,False
20.4,False,0.0,0.0,False
20.44,True,0.2738,0.328,False
20.47,False,0.0,0.0,False
20.5,True,0.3048,0.306,False
20.54,False,0.0,0.0,False
20.57,False,0.0,0.0,False
20.6,False,0.0,0.0,False
20.64,False,0.0,0.0,False
20.67,False,0.0,0.0,False
20.7,False,0.0,0.0,False
20.74,False,0.0,0.0,False
20.77,True,0.2757,0.349,False
20.8,False,0.0,0.0,False
20.84,False,0.0,0.0,False
20.87,False,0.0,0.0,False
20.9,True,0.2776,0.345,False
20.94,False,0.0,0.0,False
20.97,False,0.0,0.0,False
21.0,False,0.0,0.0,False
21.04,True,0.2626,0.352,False
21.07,True,0.2719,0.308,False
21.1,False,0.0,0.0,False
21.14,False,0.0,0.0,False
21.17,False,0.0,0.0,False
21.2,False,0.0,0.0,False
21.24,False,0.0,0.0,False
21.27,False,0.0,0.0,False
21.3,False,0.0,0.0,False
21.34,False,0.0,0.0,False
21.37,False,0.0,0.0,False
21.4,False,0.0,0.0,False
21.44,False,0.0,0.0,False
21.47,True,0.2795,0.312,False
21.5,False,0.0,0.0,False
21.54,False,0.0,0.0,False
21.57,True,0.3048,0.307,False
