t,bbox,ratio,conf,landmark
19.66,True,0.0366,0.772,False
19.69,True,0.0373,0.748,False
19.72,True,0.0373,0.775,False
19.76,True,0.0359,0.789,False
19.79,True,0.038,0.795,False
19.82,True,0.0366,0.797,False
19.86,True,0.0366,0.796,False
19.89,True,0.0352,0.803,False
19.92,True,0.0373,0.739,False
19.96,True,0.0366,0.751,False
19.99,True,0.0366,0.762,False
20.02,True,0.0387,0.751,False
20.06,True,0.0401,0.684,False
20.09,True,0.0423,0.717,False
20.12,True,0.0373,0.702,False
20.16,True,0.038,0.757,False
20.19,True,0.0394,0.721,False
20.22,True,0.0359,0.718,False
20.26,True,0.0352,0.748,False
20.29,True,0.0359,0.689,False
20.32,True,0.0332,0.726,False
20.36,True,0.0319,0.728,True
20.39,True,0.0326,0.711,True
20.42,True,0.0332,0.731,True
20.46,True,0.0319,0.736,True
20.49,True,0.0313,0.735,True
20.52,True,0.0359,0.724,False
20.56,True,0.0339,0.701,True
20.59,True,0.0326,0.74,False
20.62,True,0.0332,0.693,True
20.66,True,0.0326,0.736,True
20.69,True,0.0319,0.763,True
20.72,True,0.0332,0.726,False
20.76,True,0.0332,0.73,True
20.79,True,0.0332,0.75,True
20.82,True,0.0326,0.756,True
20.86,True,0.0319,0.743,True
20.89,True,0.0326,0.728,True
20.92,True,0.0332,0.759,False
20.96,True,0.0326,0.735,True
20.99,True,0.0345,0.746,False
21.02,True,0.0326,0.737,True
21.06,True,0.0319,0.751,True
21.09,True,0.0326,0.711,True
21.12,True,0.0326,0.739,True
21.16,True,0.0332,0.738,True
21.19,True,0.0326,0.724,False
21.22,True,0.0345,0.757,False
21.26,True,0.0332,0.742,True
21.29,True,0.0345,0.709,False
21.32,True,0.0332,0.741,True
21.36,True,0.0332,0.737,True
21.39,True,0.0339,0.748,False
21.42,True,0.0339,0.75,False
21.46,True,0.0339,0.739,False
21.49,True,0.0319,0.755,True
21.52,True,0.0326,0.745,False
21.56,True,0.0332,0.734,True
21.59,True,0.0319,0.743,True
21.62,True,0.0339,0.74,False
21.66,True,0.0339,0.748,True
21.69,True,0.0326,0.755,False
21.72,True,0.0319,0.735,True
21.76,True,0.0319,0.72,False
21.79,True,0.0332,0.747,True
21.82,True,0.0345,0.767,False
21.86,True,0.0332,0.748,False
21.89,True,0.038,0.686,False
21.92,True,0.0352,0.665,False
21.96,True,0.0345,0.64,False
21.99,True,0.0373,0.735,False
22.02,True,0.0373,0.72,False
22.06,True,0.0366,0.744,False
22.09,True,0.0416,0.765,False
22.12,True,0.0366,0.798,False
22.16,True,0.0366,0.772,False
22.19,True,0.0373,0.696,False
22.22,True,0.0387,0.727,False
22.26,True,0.0394,0.706,False
22.29,True,0.0431,0.675,False
22.32,True,0.0373,0.508,False
22.36,True,0.0345,0.441,False
22.39,True,0.0359,0.505,False
22.42,True,0.0359,0.477,False
22.46,True,0.0359,0.447,False
22.49,True,0.0373,0.426,False
22.52,True,0.0394,0.405,False
22.56,False,0.0,0.0,False
22.59,False,0.0,0.0,False
22.62,False,0.0,0.0,False
22.66,False,0.0,0.0,False
22.69,False,0.0,0.0,False
22.72,False,0.0,0.0,False
22.76,False,0.0,0.0,False
22.79,False,0.0,0.0,False
22.82,False,0.0,0.0,False
22.86,True,0.0656,0.44,False
22.89,True,0.0723,0.325,False
22.92,False,0.0,0.0,False
22.96,False,0.0,0.0,False
22.99,False,0.0,0.0,False
23.02,False,0.0,0.0,False
23.06,False,0.0,0.0,False
23.09,False,0.0,0.0,False
23.12,True,0.0387,0.416,False
23.16,True,0.0373,0.399,False
23.19,True,0.0416,0.333,False
23.22,True,0.0319,0.301,False
23.26,False,0.0,0.0,False
23.29,True,0.0359,0.31,False
23.32,True,0.0359,0.322,False
23.36,True,0.0345,0.344,False
23.39,True,0.0416,0.307,False
23.42,True,0.0394,0.357,False
23.46,True,0.0373,0.344,False
23.49,True,0.0366,0.326,False
23.52,False,0.0,0.0,False
23.56,False,0.0,0.0,False
23.59,False,0.0,0.0,False
23.62,False,0.0,0.0,False
23.66,False,0.0,0.0,False
23.69,False,0.0,0.0,False
23.72,False,0.0,0.0,False
23.76,False,0.0,0.0,False
23.79,False,0.0,0.0,False
23.82,False,0.0,0.0,False
23.86,False,0.0,0.0,False
23.89,False,0.0,0.0,False
23.92,False,0.0,0.0,False
23.96,False,0.0,0.0,False
23.99,False,0.0,0.0,False
24.02,False,0.0,0.0,False
24.06,False,0.0,0.0,False
24.09,False,0.0,0.0,False
24.12,False,0.0,0.0,False
24.16,False,0.0,0.0,False
24.19,False,0.0,0.0,False
24.22,False,0.0,0.0,False
24.26,False,0.0,0.0,False
24.29,False,0.0,0.0,False
24.32,False,0.0,0.0,False
24.36,False,0.0,0.0,False
24.39,True,0.0638,0.307,False
24.42,False,0.0,0.0,False
24.46,False,0.0,0.0,False
24.49,False,0.0,0.0,False
24.52,True,0.0416,0.318,False
24.56,True,0.0477,0.328,False
24.59,False,0.0,0.0,False
24.62,False,0.0,0.0,False
24.66,False,0.0,0.0,False
24.69,False,0.0,0.0,False
24.72,False,0.0,0.0,False
24.76,False,0.0,0.0,False
24.79,False,0.0,0.0,False
24.82,False,0.0,0.0,False
24.86,False,0.0,0.0,False
24.89,False,0.0,0.0,False
24.92,False,0.0,0.0,False
24.96,True,0.0453,0.304,False
24.99,False,0.0,0.0,False
25.02,False,0.0,0.0,False
25.06,True,0.0446,0.305,False
25.09,False,0.0,0.0,False
25.12,False,0.0,0.0,False
25.16,False,0.0,0.0,False
25.19,False,0.0,0.0,False
25.22,False,0.0,0.0,False
25.26,False,0.0,0.0,False
25.29,False,0.0,0.0,False
25.32,False,0.0,0.0,False
25.36,False,0.0,0.0,False
25.39,False,0.0,0.0,False
25.42,False,0.0,0.0,False
25.46,False,0.0,0.0,False
25.49,False,0.0,0.0,False
25.52,False,0.0,0.0,False
25.56,False,0.0,0.0,False
25.59,False,0.0,0.0,False
25.62,False,0.0,0.0,False
25.66,False,0.0,0.0,False
25.69,False,0.0,0.0,False
25.72,False,0.0,0.0,False
25.76,False,0.0,0.0,False
25.79,False,0.0,0.0,False
25.82,False,0.0,0.0,False
25.86,True,0.0477,0.376,False
25.89,True,0.0485,0.466,False
25.92,True,0.0453,0.556,False
25.96,True,0.0423,0.587,False
25.99,True,0.0423,0.646,False
26.02,True,0.0431,0.676,False
26.06,True,0.0446,0.628,False
26.09,True,0.0431,0.623,False
26.12,True,0.0423,0.592,False
26.16,True,0.0416,0.593,False
26.19,True,0.0423,0.608,False
26.22,True,0.0408,0.639,False
26.26,True,0.0438,0.568,False
26.29,True,0.0431,0.554,False
26.32,True,0.0394,0.555,False
26.36,True,0.0408,0.549,False
26.39,True,0.0394,0.489,False
26.42,True,0.0387,0.544,False
26.46,True,0.0438,0.61,False
26.49,True,0.0401,0.522,False
26.52,True,0.0408,0.549,False
26.56,True,0.0854,0.378,False
26.59,True,0.0431,0.521,False
26.62,True,0.0559,0.401,False
26.66,True,0.0461,0.532,False
26.69,True,0.0485,0.593,False
26.72,True,0.0373,0.668,False
26.76,True,0.0438,0.662,False
26.79,True,0.0461,0.614,False
26.82,True,0.0408,0.674,False
26.86,True,0.0394,0.661,False
26.89,True,0.0345,0.762,False
26.92,True,0.0359,0.731,False
26.96,True,0.0345,0.758,False
26.99,True,0.0332,0.704,False
27.02,True,0.0359,0.747,False
27.06,True,0.0332,0.741,True
27.09,True,0.0332,0.792,True
27.12,True,0.0306,0.817,True
27.16,True,0.03,0.784,True
27.19,True,0.0313,0.804,True
27.22,True,0.03,0.803,True
27.26,True,0.0288,0.769,True
27.29,True,0.0258,0.684,True
27.32,True,0.0288,0.761,True
27.36,True,0.0276,0.708,True
27.39,True,0.0276,0.754,True
27.42,True,0.0294,0.702,True
27.46,True,0.0258,0.694,True
27.49,True,0.0282,0.626,True
27.52,True,0.0294,0.529,True
27.56,True,0.0366,0.508,False
27.59,True,0.0306,0.57,True
27.62,True,0.0326,0.65,True
27.66,True,0.03,0.706,True
27.69,True,0.0294,0.806,True
27.72,True,0.0359,0.823,True
27.76,True,0.0359,0.852,True
27.79,True,0.0332,0.813,True
27.82,True,0.0366,0.834,True
27.86,True,0.0387,0.862,True
27.89,True,0.0373,0.898,True
27.92,True,0.038,0.924,True
27.96,True,0.0394,0.92,True
27.99,True,0.0408,0.933,True
28.02,True,0.038,0.959,True
